STATcube,,,,
,,,,
Age-standardized death rate in Austria by calendar week (excl. abroad) from 2000 (Q),,,,
"Calendar week by Province (NUTS 2 unit) of deceased, Gender of deceased and Values",,,,
"Counting: Number of deaths, Age-standardized death rate in parts per thousand",,,,
,,,,
Province (NUTS 2 unit) of deceased,Austria,,,
Gender of deceased,total,,,
Values,Number of deaths,Number of deaths - Annotations,Age-standardized death rate in parts per thousand,Age-standardized death rate in parts per thousand - Annotations
Calendar week,,,,
1. Calendar week 2018 (week from 1.1.2018 to 7.1.2018),1767,,0.203,
2. Calendar week 2018 (week from 8.1.2018 to 14.1.2018),1842,,0.211,
3. Calendar week 2018 (week from 15.1.2018 to 21.1.2018),1786,,0.203,
4. Calendar week 2018 (week from 22.1.2018 to 28.1.2018),1714,,0.195,
5. Calendar week 2018 (week from 29.1.2018 to 4.2.2018),1870,,0.214,
6. Calendar week 2018 (week from 5.2.2018 to 11.2.2018),1938,,0.222,
7. Calendar week 2018 (week from 12.2.2018 to 18.2.2018),1881,,0.215,
8. Calendar week 2018 (week from 19.2.2018 to 25.2.2018),1951,,0.223,
9. Calendar week 2018 (week from 26.2.2018 to 4.3.2018),2021,,0.231,
10. Calendar week 2018 (week from 5.3.2018 to 11.3.2018),1965,,0.225,
11. Calendar week 2018 (week from 12.3.2018 to 18.3.2018),1946,,0.223,
12. Calendar week 2018 (week from 19.3.2018 to 25.3.2018),1641,,0.188,
13. Calendar week 2018 (week from 26.3.2018 to 1.4.2018),1766,,0.202,
14. Calendar week 2018 (week from 2.4.2018 to 8.4.2018),1617,,0.184,
15. Calendar week 2018 (week from 9.4.2018 to 15.4.2018),1560,,0.179,
16. Calendar week 2018 (week from 16.4.2018 to 22.4.2018),1557,,0.177,
17. Calendar week 2018 (week from 23.4.2018 to 29.4.2018),1383,,0.158,
18. Calendar week 2018 (week from 30.4.2018 to 6.5.2018),1434,,0.163,
19. Calendar week 2018 (week from 7.5.2018 to 13.5.2018),1372,,0.157,
20. Calendar week 2018 (week from 14.5.2018 to 20.5.2018),1342,,0.153,
21. Calendar week 2018 (week from 21.5.2018 to 27.5.2018),1383,,0.158,
22. Calendar week 2018 (week from 28.5.2018 to 3.6.2018),1415,,0.161,
23. Calendar week 2018 (week from 4.6.2018 to 10.6.2018),1433,,0.164,
24. Calendar week 2018 (week from 11.6.2018 to 17.6.2018),1392,,0.159,
25. Calendar week 2018 (week from 18.6.2018 to 24.6.2018),1401,,0.16,
26. Calendar week 2018 (week from 25.6.2018 to 1.7.2018),1414,,0.161,
27. Calendar week 2018 (week from 2.7.2018 to 8.7.2018),1441,,0.165,
28. Calendar week 2018 (week from 9.7.2018 to 15.7.2018),1404,,0.16,
29. Calendar week 2018 (week from 16.7.2018 to 22.7.2018),1511,,0.173,
30. Calendar week 2018 (week from 23.7.2018 to 29.7.2018),1455,,0.166,
31. Calendar week 2018 (week from 30.7.2018 to 5.8.2018),1615,,0.184,
32. Calendar week 2018 (week from 6.8.2018 to 12.8.2018),1532,,0.175,
33. Calendar week 2018 (week from 13.8.2018 to 19.8.2018),1430,,0.163,
34. Calendar week 2018 (week from 20.8.2018 to 26.8.2018),1460,,0.167,
35. Calendar week 2018 (week from 27.8.2018 to 2.9.2018),1414,,0.161,
36. Calendar week 2018 (week from 3.9.2018 to 9.9.2018),1376,,0.157,
37. Calendar week 2018 (week from 10.9.2018 to 16.9.2018),1452,,0.166,
38. Calendar week 2018 (week from 17.9.2018 to 23.9.2018),1421,,0.163,
39. Calendar week 2018 (week from 24.9.2018 to 30.9.2018),1436,,0.164,
40. Calendar week 2018 (week from 1.10.2018 to 7.10.2018),1553,,0.178,
41. Calendar week 2018 (week from 8.10.2018 to 14.10.2018),1509,,0.173,
42. Calendar week 2018 (week from 15.10.2018 to 21.10.2018),1488,,0.17,
43. Calendar week 2018 (week from 22.10.2018 to 28.10.2018),1491,,0.17,
44. Calendar week 2018 (week from 29.10.2018 to 4.11.2018),1561,,0.178,
45. Calendar week 2018 (week from 5.11.2018 to 11.11.2018),1501,,0.171,
46. Calendar week 2018 (week from 12.11.2018 to 18.11.2018),1556,,0.177,
47. Calendar week 2018 (week from 19.11.2018 to 25.11.2018),1531,,0.175,
48. Calendar week 2018 (week from 26.11.2018 to 2.12.2018),1525,,0.174,
49. Calendar week 2018 (week from 3.12.2018 to 9.12.2018),1656,,0.189,
50. Calendar week 2018 (week from 10.12.2018 to 16.12.2018),1626,,0.186,
51. Calendar week 2018 (week from 17.12.2018 to 23.12.2018),1639,,0.187,
52. Calendar week 2018 (week from 24.12.2018 to 30.12.2018),1689,,0.194,
1. Calendar week 2019 (week from 31.12.2018 to 6.1.2019),1648,,0.184,
2. Calendar week 2019 (week from 7.1.2019 to 13.1.2019),1710,,0.191,
3. Calendar week 2019 (week from 14.1.2019 to 20.1.2019),1642,,0.184,
4. Calendar week 2019 (week from 21.1.2019 to 27.1.2019),1714,,0.192,
5. Calendar week 2019 (week from 28.1.2019 to 3.2.2019),1733,,0.195,
6. Calendar week 2019 (week from 4.2.2019 to 10.2.2019),1797,,0.2,
7. Calendar week 2019 (week from 11.2.2019 to 17.2.2019),1820,,0.204,
8. Calendar week 2019 (week from 18.2.2019 to 24.2.2019),1752,,0.197,
9. Calendar week 2019 (week from 25.2.2019 to 3.3.2019),1767,,0.198,
10. Calendar week 2019 (week from 4.3.2019 to 10.3.2019),1812,,0.203,
11. Calendar week 2019 (week from 11.3.2019 to 17.3.2019),1792,,0.201,
12. Calendar week 2019 (week from 18.3.2019 to 24.3.2019),1621,,0.182,
13. Calendar week 2019 (week from 25.3.2019 to 31.3.2019),1653,,0.186,
14. Calendar week 2019 (week from 1.4.2019 to 7.4.2019),1607,,0.18,
15. Calendar week 2019 (week from 8.4.2019 to 14.4.2019),1557,,0.175,
16. Calendar week 2019 (week from 15.4.2019 to 21.4.2019),1559,,0.175,
17. Calendar week 2019 (week from 22.4.2019 to 28.4.2019),1521,,0.17,
18. Calendar week 2019 (week from 29.4.2019 to 5.5.2019),1464,,0.164,
19. Calendar week 2019 (week from 6.5.2019 to 12.5.2019),1456,,0.163,
20. Calendar week 2019 (week from 13.5.2019 to 19.5.2019),1558,,0.175,
21. Calendar week 2019 (week from 20.5.2019 to 26.5.2019),1499,,0.168,
22. Calendar week 2019 (week from 27.5.2019 to 2.6.2019),1496,,0.168,
23. Calendar week 2019 (week from 3.6.2019 to 9.6.2019),1525,,0.171,
24. Calendar week 2019 (week from 10.6.2019 to 16.6.2019),1558,,0.175,
25. Calendar week 2019 (week from 17.6.2019 to 23.6.2019),1427,,0.16,
26. Calendar week 2019 (week from 24.6.2019 to 30.6.2019),1459,,0.163,
27. Calendar week 2019 (week from 1.7.2019 to 7.7.2019),1508,,0.169,
28. Calendar week 2019 (week from 8.7.2019 to 14.7.2019),1338,,0.15,
29. Calendar week 2019 (week from 15.7.2019 to 21.7.2019),1430,,0.16,
30. Calendar week 2019 (week from 22.7.2019 to 28.7.2019),1558,,0.174,
31. Calendar week 2019 (week from 29.7.2019 to 4.8.2019),1459,,0.164,
32. Calendar week 2019 (week from 5.8.2019 to 11.8.2019),1406,,0.158,
33. Calendar week 2019 (week from 12.8.2019 to 18.8.2019),1408,,0.158,
34. Calendar week 2019 (week from 19.8.2019 to 25.8.2019),1454,,0.163,
35. Calendar week 2019 (week from 26.8.2019 to 1.9.2019),1501,,0.169,
36. Calendar week 2019 (week from 2.9.2019 to 8.9.2019),1426,,0.16,
37. Calendar week 2019 (week from 9.9.2019 to 15.9.2019),1410,,0.158,
38. Calendar week 2019 (week from 16.9.2019 to 22.9.2019),1454,,0.163,
39. Calendar week 2019 (week from 23.9.2019 to 29.9.2019),1577,,0.176,
40. Calendar week 2019 (week from 30.9.2019 to 6.10.2019),1557,,0.174,
41. Calendar week 2019 (week from 7.10.2019 to 13.10.2019),1592,,0.178,
42. Calendar week 2019 (week from 14.10.2019 to 20.10.2019),1497,,0.168,
43. Calendar week 2019 (week from 21.10.2019 to 27.10.2019),1545,,0.173,
44. Calendar week 2019 (week from 28.10.2019 to 3.11.2019),1536,,0.172,
45. Calendar week 2019 (week from 4.11.2019 to 10.11.2019),1556,,0.174,
46. Calendar week 2019 (week from 11.11.2019 to 17.11.2019),1559,,0.174,
47. Calendar week 2019 (week from 18.11.2019 to 24.11.2019),1556,,0.175,
48. Calendar week 2019 (week from 25.11.2019 to 1.12.2019),1587,,0.178,
49. Calendar week 2019 (week from 2.12.2019 to 8.12.2019),1599,,0.179,
50. Calendar week 2019 (week from 9.12.2019 to 15.12.2019),1668,,0.187,
51. Calendar week 2019 (week from 16.12.2019 to 22.12.2019),1592,,0.178,
52. Calendar week 2019 (week from 23.12.2019 to 29.12.2019),1637,,0.184,
,,,,
,,,,
Symbol,Description,,,
Q,STATcube – Statistical Database of STATISTICS AUSTRIA,,,
T,Total suppression,,,
