Date,Date_mod,deaths
2016M06D25,2016-06-25,140
2016M06D26,2016-06-26,132
2016M06D27,2016-06-27,140
2016M06D28,2016-06-28,109
2016M06D29,2016-06-29,119
2016M06D30,2016-06-30,133
2016M07D01,2016-07-01,154
2016M07D02,2016-07-02,117
2016M07D03,2016-07-03,125
2016M07D04,2016-07-04,130
2016M07D05,2016-07-05,125
2016M07D06,2016-07-06,130
2016M07D07,2016-07-07,128
2016M07D08,2016-07-08,125
2016M07D09,2016-07-09,136
2016M07D10,2016-07-10,150
2016M07D11,2016-07-11,132
2016M07D12,2016-07-12,138
2016M07D13,2016-07-13,126
2016M07D14,2016-07-14,124
2016M07D15,2016-07-15,133
2016M07D16,2016-07-16,122
2016M07D17,2016-07-17,123
2016M07D18,2016-07-18,135
2016M07D19,2016-07-19,124
2016M07D20,2016-07-20,146
2016M07D21,2016-07-21,133
2016M07D22,2016-07-22,148
2016M07D23,2016-07-23,140
2016M07D24,2016-07-24,145
2016M07D25,2016-07-25,148
2016M07D26,2016-07-26,169
2016M07D27,2016-07-27,117
2016M07D28,2016-07-28,135
2016M07D29,2016-07-29,159
2016M07D30,2016-07-30,129
2016M07D31,2016-07-31,105
2016M08D01,2016-08-01,123
2016M08D02,2016-08-02,132
2016M08D03,2016-08-03,116
2016M08D04,2016-08-04,139
2016M08D05,2016-08-05,131
2016M08D06,2016-08-06,144
2016M08D07,2016-08-07,117
2016M08D08,2016-08-08,158
2016M08D09,2016-08-09,113
2016M08D10,2016-08-10,141
2016M08D11,2016-08-11,122
2016M08D12,2016-08-12,150
2016M08D13,2016-08-13,129
2016M08D14,2016-08-14,143
2016M08D15,2016-08-15,141
2016M08D16,2016-08-16,115
2016M08D17,2016-08-17,131
2016M08D18,2016-08-18,121
2016M08D19,2016-08-19,133
2016M08D20,2016-08-20,146
2016M08D21,2016-08-21,127
2016M08D22,2016-08-22,133
2016M08D23,2016-08-23,131
2016M08D24,2016-08-24,142
2016M08D25,2016-08-25,157
2016M08D26,2016-08-26,148
2016M08D27,2016-08-27,127
2016M08D28,2016-08-28,133
2016M08D29,2016-08-29,136
2016M08D30,2016-08-30,137
2016M08D31,2016-08-31,123
2016M09D01,2016-09-01,131
2016M09D02,2016-09-02,134
2016M09D03,2016-09-03,125
2016M09D04,2016-09-04,136
2016M09D05,2016-09-05,137
2016M09D06,2016-09-06,135
2016M09D07,2016-09-07,144
2016M09D08,2016-09-08,140
2016M09D09,2016-09-09,125
2016M09D10,2016-09-10,161
2016M09D11,2016-09-11,113
2016M09D12,2016-09-12,112
2016M09D13,2016-09-13,137
2016M09D14,2016-09-14,131
2016M09D15,2016-09-15,153
2016M09D16,2016-09-16,131
2016M09D17,2016-09-17,131
2016M09D18,2016-09-18,137
2016M09D19,2016-09-19,132
2016M09D20,2016-09-20,136
2016M09D21,2016-09-21,114
2016M09D22,2016-09-22,151
2016M09D23,2016-09-23,128
2016M09D24,2016-09-24,129
2016M09D25,2016-09-25,114
2016M09D26,2016-09-26,128
2016M09D27,2016-09-27,154
